DeNA,白崎浩之,209,39,8,1,1,16,50
DeNA,荒波翔,188,38,8,2,3,14,28
DeNA,金城龍彦,160,26,6,0,0,16,21
DeNA,桑原将志,144,27,7,2,1,17,32
DeNA,多村仁志,147,30,5,1,4,18,23
DeNA,後藤武敏,145,26,8,0,7,19,34
DeNA,下園辰哉,101,23,4,0,1,15,18
DeNA,柳田殖生,88,17,3,0,4,7,20
DeNA,井手正太郎,73,9,3,0,3,3,20
DeNA,高城俊人,69,8,1,1,0,7,28
DeNA,松本啓二朗,54,9,5,0,0,2,10
DeNA,中村紀洋,49,10,2,0,0,6,10
DeNA,鶴岡賢二郎,45,12,0,0,0,5,10
DeNA,西森将司,22,1,0,0,0,0,6
DeNA,嶺井博希,11,2,0,1,0,2,2
DeNA,宮崎敏郎,13,1,1,0,0,0,3
DeNA,関根大気,12,3,0,0,0,1,3
DeNA,飛雄馬,8,0,0,0,0,0,3
DeNA,乙坂智,2,0,0,0,1,0,0
DeNA,内村賢介,2,0,0,0,0,0,0
ヤクルト,山田哲人,596,124,39,1,29,84,95
ヤクルト,川端慎吾,580,132,33,2,10,47,62
ヤクルト,雄平,547,119,28,3,23,49,103
ヤクルト,畠山和洋,422,94,19,1,17,39,54
ヤクルト,バレンティン,366,67,12,0,31,82,95
ヤクルト,中村悠平,325,82,9,1,5,30,51
ヤクルト,森岡良介,301,63,16,2,2,18,39
ヤクルト,上田剛史,252,45,4,2,2,21,45
ヤクルト,飯原誉士,222,51,12,1,4,15,29
ヤクルト,相川亮二,192,38,8,0,2,12,31
ヤクルト,荒木貴裕,149,35,3,1,2,17,25
ヤクルト,比屋根渉,125,25,4,0,0,6,21
ヤクルト,武内晋一,111,21,2,0,4,12,18
ヤクルト,田中浩康,102,19,2,1,3,8,15
ヤクルト,谷内亮太,89,12,4,0,1,5,14
ヤクルト,松元ユウイチ,83,21,3,0,0,5,6
ヤクルト,岩村明憲,74,11,6,0,1,5,21
ヤクルト,ミレッジ,39,6,2,0,1,6,6
ヤクルト,野口祥順,42,8,4,0,0,1,11
ヤクルト,今浪隆博,38,7,1,0,0,3,4
ヤクルト,川島慶三,26,5,2,0,0,10,6
ヤクルト,西浦直亨,32,3,1,0,1,4,6
ヤクルト,松井淳,25,3,3,0,0,1,8
ヤクルト,三輪正義,20,4,1,0,0,1,2
ヤクルト,西田明央,20,2,2,0,1,2,4
